Sample,Parasites,PMR_a_raw_mean,PMR_a_raw_sd,PMR_b_raw_mean,PMR_b_raw_sd,PMR_a_norm_mean,PMR_a_norm_sd,PMR_b_norm_mean,PMR_b_norm_sd,Infected_0th,Infected_1st,Week,raw1111a,raw1111b
1111_W1,3D7,NA,NA,2.805215896,0.399282749,NA,NA,1,0.142335836,NA,7.366666667,1,NA,2.805215896
2860,3D7,NA,NA,2.769017877,0.343863855,NA,NA,0.987096174,0.122580175,NA,7.833333333,1,NA,2.805215896
3703,3D7,NA,NA,2.854739548,0.44847381,NA,NA,1.017654132,0.159871406,NA,6.233333333,1,NA,2.805215896
3730,3D7,NA,NA,1.831819062,0.04841619,NA,NA,0.653004663,0.017259346,NA,6.933333333,1,NA,2.805215896
8555,3D7,NA,NA,1.879905138,0.043118865,NA,NA,0.67014633,0.015370961,NA,4.666666667,1,NA,2.805215896
1111_W2,3D7,NA,NA,4.006754809,0.250846995,NA,NA,1,0.062606026,NA,4.528506667,2,NA,4.006754809
4278_W2,3D7,NA,NA,3.735466522,0.288624914,NA,NA,0.932292266,0.072034583,NA,4.151166667,2,NA,4.006754809
5279,3D7,NA,NA,4.000274048,0.325742429,NA,NA,0.998382541,0.081298319,NA,5.607833333,2,NA,4.006754809
7274,3D7,NA,NA,3.99614416,0.141601944,NA,NA,0.99735181,0.035340806,NA,3.763333333,2,NA,4.006754809
9765,3D7,NA,NA,3.368761551,0.334901017,NA,NA,0.840770577,0.083584106,NA,5.233991667,2,NA,4.006754809
1111_W3,3D7,NA,NA,3.51217731,0.048470042,NA,NA,1,0.013800568,NA,0.886666667,3,NA,3.51217731
1287,3D7,NA,NA,4.865207179,0.484192324,NA,NA,1.385239625,0.137861014,NA,0.626666667,3,NA,3.51217731
2112,3D7,NA,NA,3.922974033,0.426956852,NA,NA,1.116963549,0.12156472,NA,0.766333333,3,NA,3.51217731
3841,3D7,NA,NA,3.601741298,0.772302992,NA,NA,1.025500987,0.219892939,NA,0.703333333,3,NA,3.51217731
5273,3D7,NA,NA,5.042688633,0.743489365,NA,NA,1.435772795,0.211689018,NA,0.465,3,NA,3.51217731
6420,3D7,NA,NA,3.796275115,0.284364669,NA,NA,1.080889369,0.080965351,NA,0.581666667,3,NA,3.51217731
1111_W4,3D7,7.267628472,0.336787657,4.293914925,0.35333041,1,0.046340792,1,0.082286309,0.48,3.488461667,4,7.267628472,4.293914925
2752,3D7,5.214930556,0.553294008,5.892754083,0.860427354,0.717556019,0.076131301,1.372349985,0.200382953,0.48,2.503166667,4,7.267628472,4.293914925
2814,3D7,5.943333333,0.153960072,4.921314745,0.607631212,0.817781668,0.021184362,1.146113705,0.14150984,0.45,2.6745,4,7.267628472,4.293914925
3627,3D7,6.040833333,0.183333333,4.585261446,0.241254525,0.831197323,0.025226019,1.067851023,0.056185213,0.6,3.6245,4,7.267628472,4.293914925
4379,3D7,4.946598639,0.21821789,5.382516939,0.506509651,0.680634496,0.030026011,1.253522027,0.117959871,0.49,2.423833333,4,7.267628472,4.293914925
6129,3D7,5.601258333,0.112731244,5.206105207,0.523399245,0.770713356,0.015511421,1.212437903,0.12189325,0.4,2.240503333,4,7.267628472,4.293914925
7079,3D7,6.603401361,0.092025505,4.717084649,0.534264877,0.908604696,0.012662384,1.098551027,0.124423722,0.49,3.235666667,4,7.267628472,4.293914925
9387,3D7,5.690065359,0.14184663,3.687902032,0.746086303,0.782932889,0.019517595,0.858867047,0.173754328,0.51,2.901933333,4,7.267628472,4.293914925
1111_W5,3D7,5.368643717,0.160842552,5.945540556,0.832549385,1,0.029959625,1,0.140029216,0.56414,3.028666667,5,5.368643717,5.945540556
1723,3D7,4.013074628,0.321317544,5.00527075,0.530421114,0.747502505,0.059850786,0.841852932,0.08921327,0.57414,2.304066667,5,5.368643717,5.945540556
1987ME,3D7,4.534453077,0.259634357,4.647327718,0.736228255,0.844617992,0.048361257,0.781649317,0.123828649,0.66414,3.011511667,5,5.368643717,5.945540556
2473,3D7,4.162658029,0.117805549,5.225284431,0.425049415,0.775364924,0.021943261,0.878857756,0.071490458,0.78414,3.264106667,5,5.368643717,5.945540556
5218,3D7,5.316321106,0.123523806,6.311611049,0.381118318,0.990254035,0.023008382,1.061570599,0.064101542,0.51414,2.733333333,5,5.368643717,5.945540556
7496,3D7,4.106545657,0.263119605,4.104533736,0.563637294,0.764913053,0.049010443,0.690355014,0.094800008,0.56414,2.316666667,5,5.368643717,5.945540556
1111_W6,3D7,5.800328798,0.289282332,5.466231779,0.531494286,1,0.049873437,1,0.0972323,0.588,3.410593333,6,5.800328798,5.466231779
2967,3D7,5.380919739,0.23619853,3.910032105,0.324171169,0.927692192,0.040721576,0.71530668,0.059304322,0.868,4.670638333,6,5.800328798,5.466231779
5040,3D7,5.796309524,0.061420241,3.52109871,0.13953606,0.999307061,0.010589097,0.644154667,0.02552692,0.658,3.813971667,6,5.800328798,5.466231779
