Sample,Parasites,PMR_a_raw_mean,PMR_a_raw_sd,PMR_b_raw_mean,PMR_b_raw_sd,PMR_a_norm_mean,PMR_a_norm_sd,PMR_b_norm_mean,PMR_b_norm_sd,Infected_0th,Infected_1st,Week,raw1111a,raw1111b
1111_W1,TH,NA,NA,1.627061111,0.106247045,NA,NA,1,0.065299972,NA,1.166666667,1,NA,1.627061111
2860,TH,NA,NA,2.007142857,0.316469685,NA,NA,1.233600166,0.194503871,NA,0.533333333,1,NA,1.627061111
3703,TH,NA,NA,2.344907407,0.153510449,NA,NA,1.44119197,0.094348299,NA,0.866666667,1,NA,1.627061111
3730,TH,NA,NA,1.671771329,0.156285814,NA,NA,1.027479126,0.096054053,NA,1.166666667,1,NA,1.627061111
8555,TH,NA,NA,1.291666667,0.163732505,NA,NA,0.793864876,0.100630827,NA,0.466666667,1,NA,1.627061111
1111_W2,TH,NA,NA,4.287156849,0.58939089,NA,NA,1,0.137478266,NA,0.45184,2,NA,4.287156849
4278_W2,TH,NA,NA,2.35036079,0.224261706,NA,NA,0.548232983,0.052310124,NA,0.487833333,2,NA,4.287156849
5279,TH,NA,NA,3.125630425,0.430967698,NA,NA,0.729068363,0.100525293,NA,0.411166667,2,NA,4.287156849
7274,TH,NA,NA,4.006006512,0.642856252,NA,NA,0.934420329,0.14994932,NA,0.39,2,NA,4.287156849
9765,TH,NA,NA,4.210427308,0.43972919,NA,NA,0.982102465,0.102568953,NA,0.473991667,2,NA,4.287156849
1111_W3,TH,NA,NA,3.143437009,0.185112436,NA,NA,1,0.058888546,NA,1.493333333,3,NA,3.143437009
1287,TH,NA,NA,3.811951963,0.368088171,NA,NA,1.212670065,0.117097359,NA,1.16,3,NA,3.143437009
2112,TH,NA,NA,3.504113791,0.489513103,NA,NA,1.114739624,0.155725437,NA,1.243,3,NA,3.143437009
3841,TH,NA,NA,3.172882794,0.211804891,NA,NA,1.009367385,0.067380033,NA,1.133333333,3,NA,3.143437009
5273,TH,NA,NA,4.248134243,0.311955976,NA,NA,1.351429735,0.09924041,NA,0.681666667,3,NA,3.143437009
6420,TH,NA,NA,3.393685908,0.423825051,NA,NA,1.079609961,0.134828549,NA,0.841666667,3,NA,3.143437009
1111_W4,TH,4.329285088,0.040198032,3.976145981,0.090226381,1,0.009285143,1,0.022691919,0.38,1.645128333,4,4.329285088,3.976145981
2752,TH,6.241666667,0.575558179,4.518183783,0.380617498,1.441731496,0.132945317,1.13632241,0.095725232,0.22,1.373166667,4,4.329285088,3.976145981
2814,TH,4.930246914,0.077098741,4.307940754,0.050771366,1.138813179,0.017808654,1.083446326,0.012768989,0.27,1.331166667,4,4.329285088,3.976145981
3627,TH,5.810215054,0.162362031,4.069994564,0.105875375,1.342072637,0.037503197,1.023602902,0.026627638,0.31,1.801166667,4,4.329285088,3.976145981
4379,TH,5.770289855,0.428946336,4.192132287,0.425891112,1.332850514,0.099080178,1.054320517,0.107111538,0.23,1.327166667,4,4.329285088,3.976145981
6129,TH,5.602516667,0.332916406,4.431968462,0.375838099,1.294097421,0.076898702,1.114639272,0.094523214,0.2,1.120503333,4,4.329285088,3.976145981
7079,TH,4.231531532,0.383491832,4.298057658,0.55165822,0.977420393,0.088580868,1.080960729,0.138741943,0.37,1.565666667,4,4.329285088,3.976145981
9387,TH,5.263846154,0.266469355,3.336146716,0.470324563,1.215869606,0.061550429,0.8390403,0.118286543,0.26,1.3686,4,4.329285088,3.976145981
1111_W5,TH,2.064561722,0.174861897,1.75227178,0.080054586,1,0.084696861,1,0.04568617,0.26414,0.545333333,5,2.064561722,1.75227178
1723,TH,2.209789015,0.259791686,1.845159124,0.25017498,1.070342916,0.125833819,1.053009667,0.142771791,0.23414,0.5174,5,2.064561722,1.75227178
1987ME,TH,2.187343094,0.142234528,1.430483981,0.105864761,1.059470913,0.068893328,0.816359652,0.06041572,0.28414,0.621511667,5,2.064561722,1.75227178
2473,TH,1.894572304,0.265986244,1.584301403,0.202293536,0.917663194,0.128834242,0.904141368,0.115446439,0.32414,0.614106667,5,2.064561722,1.75227178
5218,TH,2.661309708,0.165578977,1.544833333,0.136565308,1.289043422,0.080200546,0.881617424,0.077936145,0.19414,0.516666667,5,2.064561722,1.75227178
7496,TH,2.481956827,0.149654671,1.409151049,0.022933456,1.202171289,0.072487381,0.80418521,0.013087842,0.20414,0.506666667,5,2.064561722,1.75227178
1111_W6,TH,4.96616307,0.210772132,4.350809555,0.146721017,1,0.042441645,1,0.033722694,0.278,1.380593333,6,4.96616307,4.350809555
2967,TH,4.452930912,0.197384707,3.7400909,0.182079624,0.896654187,0.039745917,0.85963103,0.041849596,0.468,2.083971667,6,4.96616307,4.350809555
5040,TH,4.781881551,0.161371114,2.737738892,0.071441674,0.962892576,0.032494123,0.629248157,0.016420317,0.318,1.520638333,6,4.96616307,4.350809555
6156,TH,4.76010101,0.153085299,3.965893111,0.074062962,0.958506788,0.030825669,0.911529926,0.0170228,0.528,2.513333333,6,4.96616307,4.350809555
