Sample,Week.Advia
1111_W1,1
1111_W10,10
1111_W17,17
1111_W18,18
1111_W19,19
1111_W20,20
1111_W21,21
1111_W22,22
1111_W24,24
1111_W25,25
1111_W4,4
1111_W5,5
1111_W8,8
1111_W9,9
1145,22
1186,11
1187,12
1212,22
1234,18
1287,3
1386,25
1473,15
1502,12
1723,5
1847,15
1987DA,7
1987ME,5
2001,15
2071,24
2112,3
2222_W17,17
2222_W18,18
2222_W20,20
2473,5
2751,14
2752,4
2775,13
2814,4
2860,1
2862,16
2967,6
3001,22
3021,19
3121,14
3185,13
3333_W17,17
3333_W18,18
3459,7
3627,4
3645,10
3703,1
3711,25
3730,1
3738,9
3804,7
3841,3
3853,21
3874,24
3881,15
4100,11
4278_W18,18
4278_W2,2
4379,4
4412,8
4458,8
4471,22
4562,11
4612,17
4657,21
4715,22
4731,20
5022,22
5025,13
5040,6
5083,13
5134,21
5218,5
5244,17
5273,3
5279,2
5555,25
5608,7
5609,10
5678,22
5691,9
5821,13
5833,22
6129,4
6156,6
6248,6
6342,9
6408,16
6420,3
6443,19
6449GR,9
6449KD,9
6479,8
6523,22
6668,19
6686,24
6760,6
6896,15
6922,9
7079,4
7131,7
7160,8
7259,22
7274,2
7370,14
7496,5
7575,17
7596,16
7677,13
7700,25
7755,15
7995,6
8032,8
8158,17
8162,22
8277,18
8281,20
8335,16
8393,12
8454,15
8474,7
8540,8
8555,1
8597,11
8613,24
8643,7
8805,12
9000,14
9172,24
9387,4
9462,17
9688,22
9743,12
9765,2
1111_W11,11
1111_W12,12
1111_W13,13
1111_W14,14
1111_W15,15
1111_W16,16
1111_W2,2
1111_W3,3
1111_W6,6
1111_W7,7
2222_W25,25
